시도,군구,총인구수 (명),남자인구수 (명),여자인구수 (명)
전국,전국,"51,377,213","25,596,921","25,780,292"
전국,소계,"9,409,466","4,554,020","4,855,446"
서울특별시,　　　종로구,"140,032","67,682","72,350"
서울특별시,　　　중구,"121,482","58,840","62,642"
서울특별시,　　　용산구,"216,547","103,993","112,554"
서울특별시,　　　성동구,"278,750","135,346","143,404"
서울특별시,　　　광진구,"336,446","161,828","174,618"
서울특별시,　　　동대문구,"340,333","167,083","173,250"
서울특별시,　　　중랑구,"383,072","188,091","194,981"
서울특별시,　　　성북구,"428,122","205,537","222,585"
서울특별시,　　　강북구,"290,583","140,828","149,755"
서울특별시,　　　도봉구,"307,968","149,408","158,560"
서울특별시,　　　노원구,"499,908","240,063","259,845"
서울특별시,　　　은평구,"465,977","221,459","244,518"
서울특별시,　　　서대문구,"307,672","146,292","161,380"
서울특별시,　　　마포구,"364,573","170,455","194,118"
서울특별시,　　　양천구,"437,665","213,802","223,863"
서울특별시,　　　강서구,"565,195","270,918","294,277"
서울특별시,　　　구로구,"394,363","193,517","200,846"
서울특별시,　　　금천구,"228,858","115,190","113,668"
서울특별시,　　　영등포구,"375,526","184,189","191,337"
서울특별시,　　　동작구,"380,478","184,062","196,416"
서울특별시,　　　관악구,"485,994","244,539","241,455"
서울특별시,　　　서초구,"404,616","192,847","211,769"
서울특별시,　　　강남구,"540,730","258,464","282,266"
서울특별시,　　　송파구,"656,176","315,487","340,689"
서울특별시,　　　강동구,"458,400","224,100","234,300"
부산광역시,소계,"3,302,740","1,610,738","1,692,002"
부산광역시,　　　중구,"39,060","18,911","20,149"
부산광역시,　　　서구,"104,304","50,188","54,116"
부산광역시,　　　동구,"88,027","42,912","45,115"
부산광역시,　　　영도구,"107,103","52,650","54,453"
부산광역시,　　　부산진구,"357,196","171,587","185,609"
부산광역시,　　　동래구,"272,176","131,606","140,570"
부산광역시,　　　남구,"255,095","124,362","130,733"
부산광역시,　　　북구,"275,670","135,629","140,041"
부산광역시,　　　해운대구,"382,448","183,307","199,141"
부산광역시,　　　사하구,"299,844","148,785","151,059"
부산광역시,　　　금정구,"217,839","106,365","111,474"
부산광역시,　　　강서구,"142,890","74,082","68,808"
부산광역시,　　　연제구,"202,918","97,076","105,842"
부산광역시,　　　수영구,"175,455","82,379","93,076"
부산광역시,　　　사상구,"203,534","102,171","101,363"
부산광역시,　　　기장군,"179,181","88,728","90,453"
대구광역시,소계,"2,378,464","1,169,083","1,209,381"
대구광역시,　　　중구,"86,210","41,283","44,927"
대구광역시,　　　동구,"341,800","167,550","174,250"
대구광역시,　　　서구,"159,255","79,170","80,085"
대구광역시,　　　남구,"140,497","67,105","73,392"
대구광역시,　　　북구,"424,831","210,862","213,969"
대구광역시,　　　수성구,"407,190","196,254","210,936"
대구광역시,　　　달서구,"532,496","261,398","271,098"
대구광역시,　　　달성군,"263,055","133,524","129,531"
대구광역시,　　　군위군,"23,130","11,937","11,193"
인천광역시,소계,"2,985,152","1,493,440","1,491,712"
인천광역시,　　　중구,"157,127","81,403","75,724"
인천광역시,　　　중구영종출장소,0,0,0
인천광역시,　　　중구용유출장소,0,0,0
인천광역시,　　　동구,"59,922","30,075","29,847"
인천광역시,　　　미추홀구,"405,633","204,176","201,457"
인천광역시,　　　연수구,"389,310","193,015","196,295"
인천광역시,　　　남동구,"497,181","247,008","250,173"
인천광역시,　　　부평구,"488,696","240,684","248,012"
인천광역시,　　　계양구,"283,422","141,082","142,340"
인천광역시,　　　서구,"614,123","309,591","304,532"
인천광역시,　　　서구검단출장소,0,0,0
인천광역시,　　　강화군,"69,265","34,699","34,566"
인천광역시,　　　옹진군,"20,473","11,707","8,766"
광주광역시,소계,"1,423,810","703,131","720,679"
광주광역시,　　　동구,"106,704","52,529","54,175"
광주광역시,　　　서구,"285,843","139,831","146,012"
광주광역시,　　　남구,"210,423","100,819","109,604"
광주광역시,　　　북구,"422,881","209,216","213,665"
광주광역시,　　　광산구,"397,959","200,736","197,223"
대전광역시,소계,"1,444,837","720,688","724,149"
대전광역시,　　　동구,"218,694","110,123","108,571"
대전광역시,　　　중구,"224,439","110,235","114,204"
대전광역시,　　　서구,"467,364","229,348","238,016"
대전광역시,　　　유성구,"363,731","184,227","179,504"
대전광역시,　　　대덕구,"170,609","86,755","83,854"
울산광역시,소계,"1,104,448","567,403","537,045"
울산광역시,　　　중구,"205,464","103,868","101,596"
울산광역시,　　　남구,"309,139","157,634","151,505"
울산광역시,　　　동구,"152,315","79,445","72,870"
울산광역시,　　　북구,"217,533","112,578","104,955"
울산광역시,　　　울주군,"219,997","113,878","106,119"
세종특별자치시,소계,"385,953","192,271","193,682"
세종특별자치시,　　　세종시,"385,953","192,271","193,682"
경기도,소계,"13,624,964","6,855,409","6,769,555"
경기도,　　　수원시,"1,195,111","601,447","593,664"
경기도,　　　장안구,"268,547","135,069","133,478"
경기도,　　　권선구,"368,270","186,016","182,254"
경기도,　　　팔달구,"195,442","98,423","97,019"
경기도,　　　영통구,"362,852","181,939","180,913"
경기도,　　　성남시,"918,077","454,382","463,695"
경기도,　　　수정구,"230,552","116,871","113,681"
경기도,　　　중원구,"213,015","107,586","105,429"
경기도,　　　분당구,"474,510","229,925","244,585"
경기도,　　　의정부시,"464,778","228,484","236,294"
경기도,　　　안양시,"545,092","269,406","275,686"
경기도,　　　만안구,"232,609","116,207","116,402"
경기도,　　　동안구,"312,483","153,199","159,284"
경기도,　　　부천시,"785,432","388,543","396,889"
경기도,　　　광명시,"280,414","137,706","142,708"
경기도,　　　평택시,"587,611","308,573","279,038"
경기도,　　　송탄출장소,0,0,0
경기도,　　　안중출장소,0,0,0
경기도,　　　동두천시,"89,174","44,450","44,724"
경기도,　　　안산시,"634,284","325,067","309,217"
경기도,　　　상록구,"338,379","172,658","165,721"
경기도,　　　단원구,"295,905","152,409","143,496"
경기도,　　　고양시,"1,076,655","525,417","551,238"
경기도,　　　덕양구,"496,607","244,274","252,333"
경기도,　　　일산동구,"292,300","141,736","150,564"
경기도,　　　일산서구,"287,748","139,407","148,341"
경기도,　　　과천시,"81,306","39,890","41,416"
경기도,　　　구리시,"187,984","92,985","94,999"
경기도,　　　남양주시,"733,002","363,761","369,241"
경기도,　　　풍양출장소,0,0,0
경기도,　　　오산시,"229,569","119,620","109,949"
경기도,　　　시흥시,"518,182","270,494","247,688"
경기도,　　　군포시,"263,496","130,673","132,823"
경기도,　　　의왕시,"157,499","78,097","79,402"
경기도,　　　하남시,"329,162","164,021","165,141"
경기도,　　　용인시,"1,077,890","534,863","543,027"
경기도,　　　처인구,"263,923","135,708","128,215"
