행정구역시도,행정구역군구,총인구수,남자인구수,여자인구수
전국,소계,51392745,25607244,25785501
서울특별시,소계,9414093,4557609,4856484
서울특별시,종로구,140397,67834,72563
서울특별시,중구,121441,58857,62584
서울특별시,용산구,217288,104357,112931
서울특별시,성동구,279374,135723,143651
서울특별시,광진구,336169,161755,174414
서울특별시,동대문구,338115,166040,172075
서울특별시,중랑구,384272,188744,195528
서울특별시,성북구,429142,206043,223099
서울특별시,강북구,291384,141302,150082
서울특별시,도봉구,308986,150001,158985
서울특별시,노원구,500104,240221,259883
서울특별시,은평구,463298,220342,242956
서울특별시,서대문구,308122,146570,161552
서울특별시,마포구,365111,170813,194298
서울특별시,양천구,438353,214173,224180
서울특별시,강서구,566839,271822,295017
서울특별시,구로구,394833,193729,201104
서울특별시,금천구,229235,115396,113839
서울특별시,영등포구,376139,184615,191524
서울특별시,동작구,380622,184103,196519
서울특별시,관악구,487192,245081,242111
서울특별시,서초구,404484,192850,211634
서울특별시,강남구,537139,256737,280402
서울특별시,송파구,657101,316010,341091
서울특별시,강동구,458953,224491,234462
부산광역시,소계,3306993,1613071,1693922
부산광역시,중구,39311,19020,20291
부산광역시,서구,104449,50298,54151
부산광역시,동구,86809,42344,44465
부산광역시,영도구,107006,52612,54394
부산광역시,부산진구,357475,171710,185765
부산광역시,동래구,272590,131819,140771
부산광역시,남구,255786,124724,131062
부산광역시,북구,276684,136136,140548
부산광역시,해운대구,383355,183796,199559
부산광역시,사하구,300922,149319,151603
부산광역시,금정구,218711,106730,111981
부산광역시,강서구,143052,74173,68879
부산광역시,연제구,202919,97165,105754
부산광역시,수영구,175511,82363,93148
부산광역시,사상구,203029,101998,101031
부산광역시,기장군,179384,88864,90520
대구광역시,소계,2356416,1157923,1198493
대구광역시,중구,83945,40220,43725
대구광역시,동구,339988,166672,173316
대구광역시,서구,159908,79531,80377
대구광역시,남구,141212,67476,73736
대구광역시,북구,426284,211635,214649
대구광역시,수성구,408238,196842,211396
대구광역시,달서구,533810,262063,271747
대구광역시,달성군,263031,133484,129547
인천광역시,소계,2978749,1490345,1488404
인천광역시,중구,156658,81143,75515
인천광역시,동구,60023,30139,29884
인천광역시,미추홀구,404177,203440,200737
인천광역시,연수구,389418,193188,196230
인천광역시,남동구,499891,248326,251565
인천광역시,부평구,489621,241267,248354
인천광역시,계양구,285060,141893,143167
인천광역시,서구,604017,304499,299518
인천광역시,강화군,69394,34747,34647
인천광역시,옹진군,20490,11703,8787
인천광역시,광주광역시,1424818,703887,720931
인천광역시,동구,106666,52558,54108
인천광역시,서구,286100,140017,146083
인천광역시,남구,210762,101069,109693
인천광역시,북구,422629,209128,213501
인천광역시,광산구,398661,201115,197546
대전광역시,소계,1445126,720783,724343
대전광역시,동구,218927,110244,108683
대전광역시,중구,224799,110478,114321
